MANCODIGO,V_REF
"009208021",2930000
"009208044",2930000
"009259086",1630000
"001355010",1380000
"001355012",1260000
"002521015",570000
"004570047",1675000
"002566091",640000
"004623073",1300000
"002103040",4400000
"009208022",2930000
"002433004",2500000
"002305029",1900000
"001420068",1170000
"006406007",2300000
"001336098",320000
"002534005",730000
"009208034",2930000
"001323043",760000
"009208031",2930000
"002616089",800000
"007301001",2130000
"006313028",7000000
"006313043",2100000
"006313056",2100000
"004551003",2800000
"003211021",1100000
"005611065",870000
"005201038",3900000
"008404039",4750000
"009114015",3080000
"001324002",780000
"005634004",3050000
"002517006",1000000
"004512061",2750000
"004101020",4000000
"008307001",6800000
"004580057",1815000
"009120038",2300000
"005105007",3900000
"006511001",3300000
"005636027",1960000
"004504039",2800000
"004308010",780000
"006313010",7300000
"006313011",7300000
"007406013",3850000
"001418069",1600000
"006410052",2000000
"001333017",780000
"004504060",2700000
"007406009",3600000
"007406020",3250000
"001414029",1600000
"002529025",1600000
"002529017",1700000
"005105008",3900000
"009235017",1500000
"004550041",1600000
"002104031",3150000
"009259080",2450000
"004550013",1600000
"009259082",2450000
"009112005",2200000
"004550009",1600000
"004519046",1815000
"005669073",1960000
"001423020",1100000
"007303024",3400000
"003106021",2300000
"004301001",2300000
"002415076",2700000
"004598012",1600000
"004533002",1800000
"001107067",830000
"004550012",1600000
"004401075",2800000
"004632035",1650000
"004561007",1430000
"006510006",3700000
"005607061",2800000
"005679012",2700000
"005679013",2700000
"005679020",2700000
"002546068",30100
"006403033",2100000
"005652050",2300000
"002531071",2150000
"005652052",2300000
"005652053",2550000
"002540036",570000
"002569037",1300000
"002540019",570000
"004589020",1815000
"002439050",1300000
"004501040",2100000
"005602015",2900000
"005611023",2950000
"001321071",272247
"002601039",84700
"009245034",2650000
"008508030",3300000
"005636004",1960000
"002423065",570000
"001111017",2100000
"001434034",1350000
"002590009",340000
"004516011",2200000
"004516004",2200000
"004530049",2350000
"004530050",2350000
"002553077",650000
"208125021",141200
"004631002",1650000
"005602016",2900000
"004516015",2350000
"004565075",2000000
"004519068",510000
"005652033",2300000
"004201041",2500000
"002599088",820000
"007311015",4400000
"002107033",2620000
"002599056",820000
"008212010",4000000
"004631068",1646520
"002107004",2925000
"005304016",4000000
"004631004",1647436
"004631001",1650000
"004516014",2200000
"004613012",2100000
"005304017",4000000
"202410035",102300
"009118019",2760000
"009118020",2760000
"008533015",1000000
"005205025",2800000
"005207003",3900000
"005207008",3900000
"009124049",3060000
"202410034",102300
"202410036",102300
"205225019",11200
"205225020",11200
"202410029",102300
"001340079",320000
"008543017",145600
"009235055",2350000
"009235062",1500000
"002523001",475000
"004530051",2350000
"004530052",2350000
"004530053",2350000
"004538034",2330000
"004538035",2765000
"004604001",2725000
"205221061",16932
"205221062",24969
"205225024",28000
"004530002",2350000
"205225025",28000
"004554064",2100000
"004544028",1170000
"004540056",2000000
"004554057",2100000
"004621068",1900000
"004538036",2330000
"002606030",377435
"005652048",2300000
"001417013",2400000
"002595057",500000
"002406015",2050000
"002546045",460000
"002543044",1050000
"008533009",1000000
"004622002",1815000
"004613026",2100000
"005679024",2700000
"004538037",2330000
"005655017",3050000
"005614050",3000000
"005652037",2300000
"004643083",1647851
"009128020",1700000
"002595061",500000
"009235010",2350000
"005679026",2700000
"005679030",2700000
"001340083",320000
"001340085",320000
"005652058",2300000
"005652061",2300000
"002583020",553840
"008420010",1300000
"005606062",3600000
"005404058",2900000
"001337017",233196
"009135007",2840000
"008520008",1335000
"006401032",2200000
"005609003",2900000
"005626001",2000000
"005625003",2600000
"005601047",3100000
"008523007",2450000
"004581085",2500000
"004581086",2500000
"208108054",51000
"006401047",2200000
"004503032",2550000
"009123026",3020000
"005402022",2930000
"006401035",2200000
"007205019",2950000
"004516045",2200000
"006217031",7000000
"002582013",460000
"009227026",2500000
"004516040",2200000
"006312061",3200000
"008220028",1100000
"009113019",2000000
"006404060",1700000
"002613050",800000
"009235023",1500000
"009232071",2650000
"009235025",1500000
"009259027",489000
"004580061",2500000
"004632023",1700000
"004504012",2450000
"002431096",700000
"004542072",2600000
"002107034",2620000
"008505059",2900000
"004518068",837304
"004518094",2350000
"006403016",2100000
"008407033",4750000
"005304050",1270000
"009257086",2280000
"009203064",2650000
"002205024",1900000
"005502055",3200000
"005102055",3200000
"005632030",2925000
"005632031",1620000
"005632032",2850000
"005101046",3000000
"004556014",2100000
"005632028",2925000
"005632029",2925000
"005632033",2850000
"001403005",1400000
"002557091",141000
"205102002",155600
"004574006",1600000
"009124011",3445000
"005102025",2900000
"006417024",2100000
"004604069",1815000
"009205020",2420000
"004523024",1675000
"004557024",2100000
"004557025",2100000
"005665090",2640000
"001333006",780000
"005623023",840000
"006403080",2100000
"006403081",2100000
"006403082",2100000
"006403083",2100000
"008208015",3800000
"003206009",600000
"006403026",2100000
"002520059",1300000
"004586008",1675000
"002599062",820000
"002599063",767795
"005304057",1270000
"005648022",2810000
"005616012",2650000
"002532043",1180000
"004542012",2600000
"001409001",1750000
"004621049",1900000
"009255046",1630000
"004401014",2800000
"001412067",1600000
"005675043",2700000
"005609010",2900000
"004406001",3200000
